Address,latitude,longtitude,bedrooms,Baths,Space,Price,Description,School Index,Hos Index,Market Index,Crime Index,County
98 Cuthbert Ln,34.067466,-84.741981,4,4.5,"3,255","$629,990 ","4 bed, 4.5 bath townhouse in 98 Cuthbert Ln",42.76416942,43.81089763,49.12215918,0.393946502,Cobb
78 Cuthbert Ln,34.067741,-84.741912,4,4.5,"3,864","$674,990 ","4 bed, 4.5 bath townhouse in 78 Cuthbert Ln",42.7747869,43.81822812,49.13025849,0.393860221,Cobb
5326 Tallgrass Way NW,33.978263,-84.709587,5,3,"2,800","$425,000 ","5 bed, 3 bath townhouse in 5326 Tallgrass Way NW",31.00717373,35.94055039,41.78238809,0.473435866,Cobb
6503 Arbor Gate Dr SW,33.797367,-84.555572,4,3,"1,454","$110,000 ","4 bed, 3 bath townhouse in 6503 Arbor Gate Dr SW",19.30831741,18.42209243,19.2986255,1.197358779,Cobb
3170 New Macland Rd,33.876331,-84.676551,3,2,"1,036","$99,000 ","3 bed, 2 bath townhouse in 3170 New Macland Rd",25.06272852,30.01912386,34.58924099,0.592226984,Cobb
60 Whitlock Sq SW,33.950325,-84.55754,3,2.5,"1,973","$274,900 ","3 bed, 2.5 bath townhouse in 60 Whitlock Sq SW",18.1329529,17.09281016,26.54006749,0.756634953,Cobb
3438 Creatwood Trl SE,33.86883,-84.501095,4,2,"1,649","$265,000 ","4 bed, 2 bath townhouse in 3438 Creatwood Trl SE",16.2071412,8.828606001,16.78888862,1.2679303,Cobb
6252 Providence Club Dr,33.80059,-84.527305,4,3.5,"2,406","$329,900 ","4 bed, 3.5 bath townhouse in 6252 Providence Club Dr",18.43230697,15.62637662,16.31193246,1.484690049,Cobb
1848 Blackwell Rd,34.040382,-84.497734,4,2,"3,083","$395,000 ","4 bed, 2 bath townhouse in 1848 Blackwell Rd",20.42333774,24.22228323,28.49704533,0.651458235,Cobb
311 Anders Path,33.959156,-84.579307,6,7.5,"10,236","$1,999,000 ","6 bed, 7.5 bath townhouse in 311 Anders Path",22.13390009,20.01506318,28.88952695,0.693347148,Cobb
2632 Spring Dr SE,33.88869,-84.487657,4,2,925,"$205,000 ","4 bed, 2 bath townhouse in 2632 Spring Dr SE",16.76363388,11.17092074,16.87948272,1.217307475,Cobb
6130 Farmwood Way SE,33.805416,-84.512237,4,2.5,"2,498","$250,000 ","4 bed, 2.5 bath townhouse in 6130 Farmwood Way SE",17.26883834,14.28734101,14.94629298,1.654604234,Cobb
1916 Gober Ave SE,33.90608,-84.5351,3,2,"1,145","$159,900 ","3 bed, 2 bath townhouse in 1916 Gober Ave SE",14.80151457,15.98252151,22.06582233,0.939458016,Cobb
2329 Milstead Cir NE,34.010104,-84.508537,4,3.5,"2,855","$268,900 ","4 bed, 3.5 bath townhouse in 2329 Milstead Cir NE",20.14119752,21.90210981,26.87730017,0.705075856,Cobb
2706 Prado Ln,34.019912,-84.551574,5,4.5,"4,020","$415,000 ","5 bed, 4.5 bath townhouse in 2706 Prado Ln",22.52768116,23.45277195,30.53071878,0.630876832,Cobb
3214 Shirley Dr NW,34.0295,-84.611234,2,1,832,"$110,000 ","2 bed, 1 bath townhouse in 3214 Shirley Dr NW",27.09393939,26.6409655,35.72394413,0.544507545,Cobb
3223 Citation Ave NW,34.035415,-84.641846,4,2.5,"2,536","$239,000 ","4 bed, 2.5 bath townhouse in 3223 Citation Ave NW",26.50150945,30.27354367,38.59828937,0.504459236,Cobb
96 Thorncliff Way,34.063087,-84.749038,5,4,"4,901","$364,900 ","5 bed, 4 bath townhouse in 96 Thorncliff Way",43.34965107,44.33992547,49.53758587,0.390941394,Cobb
2020 Baramore Oaks Dr,34.01614,-84.489655,4,4.5,"2,001","$240,000 ","4 bed, 4.5 bath townhouse in 2020 Baramore Oaks Dr",19.16093291,22.11048918,26.14930576,0.712816512,Cobb
1411 Lafayette Ln,33.9836,-84.409637,4,2.5,"3,767","$450,000 ","4 bed, 2.5 bath townhouse in 1411 Lafayette Ln",18.66110592,17.84609084,19.186339,0.87668489,Cobb
715 Bayliss Dr,33.96062,-84.398696,4,3,"1,855","$319,900 ","4 bed, 3 bath townhouse in 715 Bayliss Dr",18.91300006,15.78276027,16.42875282,0.98086007,Cobb
3401 Creatwood Trl SE,33.870419,-84.502577,3,1.5,"1,161","$255,000 ","3 bed, 1.5 bath townhouse in 3401 Creatwood Trl SE",16.34634504,8.026922278,17.03725356,1.249179871,Cobb
